date,output,total_income_support
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,"[location_key=BM,school_closing=3]",2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,[location_key=BM],2.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,"[location_key=BN,school_closing=2]",1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,[location_key=BN],1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,"[location_key=BO,school_closing=3]",1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,[location_key=BO],1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,"[location_key=BR,school_closing=3]",1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,[location_key=BR],1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AC,school_closing=3]",1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,[location_key=BR_AC],1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AL,school_closing=3]",1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,[location_key=BR_AL],1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AM,school_closing=3]",1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,[location_key=BR_AM],1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,"[location_key=BR_AP,school_closing=3]",1.0
2020-06-15,[location_key=BR_AP],1.0
2020-06-15,[location_key=BR_AP],1.0
2020-06-15,[location_key=BR_AP],1.0
2020-06-15,[location_key=BR_AP],1.0
