date,output,total_income_support
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,[location_key=SZ],1.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,"[location_key=TD,school_closing=0]",0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,[location_key=TD],0.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,"[location_key=TG,school_closing=2]",1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,[location_key=TG],1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,"[location_key=TH,school_closing=1]",1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,[location_key=TH],1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,"[location_key=TJ,school_closing=1]",1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,[location_key=TJ],1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,"[location_key=TL,school_closing=3]",1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,[location_key=TL],1.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,"[location_key=TM,school_closing=1]",0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,[location_key=TM],0.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,"[location_key=TN,school_closing=1]",1.0
2021-03-22,[location_key=TN],1.0
2021-03-22,[location_key=TN],1.0
