date,output,total_income_support
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,"[location_key=GR,school_closing=2]",2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,[location_key=GR],2.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,"[location_key=GT,school_closing=3]",1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,[location_key=GT],1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,"[location_key=GU,school_closing=2]",1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,[location_key=GU],1.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,"[location_key=GY,school_closing=2]",0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,[location_key=GY],0.0
2020-11-09,"[location_key=HK,school_closing=1]",1.0
2020-11-09,"[location_key=HK,school_closing=1]",2.0
2020-11-09,"[location_key=HK,school_closing=1]",1.0
2020-11-09,"[location_key=HK,school_closing=1]",1.0
2020-11-09,"[location_key=HK,school_closing=1]",1.0
2020-11-09,"[location_key=HK,school_closing=2]",1.0
2020-11-09,"[location_key=HK,school_closing=2]",1.0
2020-11-09,[location_key=HK],1.0
2020-11-09,[location_key=HK],2.0
2020-11-09,[location_key=HK],1.0
2020-11-09,[location_key=HK],1.0
2020-11-09,[location_key=HK],1.0
2020-11-09,[location_key=HK],1.0
2020-11-09,[location_key=HK],1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,"[location_key=HN,school_closing=3]",1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,[location_key=HN],1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,"[location_key=HR,school_closing=1]",1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,[location_key=HR],1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,"[location_key=HT,school_closing=1]",1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,[location_key=HT],1.0
2020-11-09,"[location_key=HU,school_closing=1]",0.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,"[location_key=HU,school_closing=2]",1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],1.0
2020-11-09,[location_key=HU],0.0
2020-11-09,"[location_key=ID,school_closing=2]",1.0
2020-11-09,"[location_key=ID,school_closing=2]",1.0
2020-11-09,"[location_key=ID,school_closing=2]",1.0
2020-11-09,"[location_key=ID,school_closing=2]",1.0
