date,output,total_income_support
2021-08-02,"[location_key=US_IA,school_closing=0]",1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,[location_key=US_IA],1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,"[location_key=US_ID,school_closing=1]",1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,[location_key=US_ID],1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,"[location_key=US_IL,school_closing=0]",1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,[location_key=US_IL],1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,"[location_key=US_IN,school_closing=2]",1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,[location_key=US_IN],1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,"[location_key=US_KS,school_closing=0]",1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,[location_key=US_KS],1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,"[location_key=US_KY,school_closing=1]",1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,[location_key=US_KY],1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,"[location_key=US_LA,school_closing=1]",1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,[location_key=US_LA],1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,"[location_key=US_MA,school_closing=1]",1.0
2021-08-02,[location_key=US_MA],1.0
2021-08-02,[location_key=US_MA],1.0
2021-08-02,[location_key=US_MA],1.0
